disease_number,dx,description,icd_ver
1,A00,Cholera,ICD10CM-2020
1,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",ICD10CM-2020
1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",ICD10CM-2020
1,A009,"Cholera, unspecified",ICD10CM-2020
1,A01,Typhoid and paratyphoid fevers,ICD10CM-2020
1,A010,Typhoid fever,ICD10CM-2020
1,A0100,"Typhoid fever, unspecified",ICD10CM-2020
1,A0101,Typhoid meningitis,ICD10CM-2020
1,A0102,Typhoid fever with heart involvement,ICD10CM-2020
1,A0103,Typhoid pneumonia,ICD10CM-2020
1,A0104,Typhoid arthritis,ICD10CM-2020
1,A0105,Typhoid osteomyelitis,ICD10CM-2020
1,A0109,Typhoid fever with other complications,ICD10CM-2020
1,A011,Paratyphoid fever A,ICD10CM-2020
1,A012,Paratyphoid fever B,ICD10CM-2020
1,A013,Paratyphoid fever C,ICD10CM-2020
1,A014,"Paratyphoid fever, unspecified",ICD10CM-2020
1,A02,Other salmonella infections,ICD10CM-2020
1,A020,Salmonella enteritis,ICD10CM-2020
1,A021,Salmonella sepsis,ICD10CM-2020
1,A022,Localized salmonella infections,ICD10CM-2020
1,A0220,"Localized salmonella infection, unspecified",ICD10CM-2020
1,A0221,Salmonella meningitis,ICD10CM-2020
1,A0222,Salmonella pneumonia,ICD10CM-2020
1,A0223,Salmonella arthritis,ICD10CM-2020
1,A0224,Salmonella osteomyelitis,ICD10CM-2020
1,A0225,Salmonella pyelonephritis,ICD10CM-2020
1,A0229,Salmonella with other localized infection,ICD10CM-2020
1,A028,Other specified salmonella infections,ICD10CM-2020
1,A029,"Salmonella infection, unspecified",ICD10CM-2020
1,A03,Shigellosis,ICD10CM-2020
1,A030,Shigellosis due to Shigella dysenteriae,ICD10CM-2020
1,A031,Shigellosis due to Shigella flexneri,ICD10CM-2020
1,A032,Shigellosis due to Shigella boydii,ICD10CM-2020
1,A033,Shigellosis due to Shigella sonnei,ICD10CM-2020
1,A038,Other shigellosis,ICD10CM-2020
1,A039,"Shigellosis, unspecified",ICD10CM-2020
1,A04,Other bacterial intestinal infections,ICD10CM-2020
1,A040,Enteropathogenic Escherichia coli infection,ICD10CM-2020
1,A041,Enterotoxigenic Escherichia coli infection,ICD10CM-2020
1,A042,Enteroinvasive Escherichia coli infection,ICD10CM-2020
1,A043,Enterohemorrhagic Escherichia coli infection,ICD10CM-2020
1,A044,Other intestinal Escherichia coli infections,ICD10CM-2020
1,A045,Campylobacter enteritis,ICD10CM-2020
1,A046,Enteritis due to Yersinia enterocolitica,ICD10CM-2020
1,A047,Enterocolitis due to Clostridium difficile,ICD10CM-2020
1,A0471,"Enterocolitis due to Clostridium difficile, recurrent",ICD10CM-2020
1,A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur",ICD10CM-2020
1,A048,Other specified bacterial intestinal infections,ICD10CM-2020
1,A049,"Bacterial intestinal infection, unspecified",ICD10CM-2020
1,A05,"Oth bacterial foodborne intoxications, NEC",ICD10CM-2020
1,A050,Foodborne staphylococcal intoxication,ICD10CM-2020
1,A051,Botulism food poisoning,ICD10CM-2020
1,A052,Foodborne Clostridium perfringens intoxication,ICD10CM-2020
1,A053,Foodborne Vibrio parahaemolyticus intoxication,ICD10CM-2020
1,A054,Foodborne Bacillus cereus intoxication,ICD10CM-2020
1,A055,Foodborne Vibrio vulnificus intoxication,ICD10CM-2020
1,A058,Other specified bacterial foodborne intoxications,ICD10CM-2020
1,A059,"Bacterial foodborne intoxication, unspecified",ICD10CM-2020
